rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
3,N/A,do zamieszkania,6/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-51-34-m-warszawa-ID4ntkW
2,N/A,N/A,8/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-wola-37-m2-ID4nt4U
3,N/A,do zamieszkania,> 10/16,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/blisko-ronda-wiatraczna-rozkladowe-z-loggia-ID4ntkE
3,pełna własność,do zamieszkania,> 10/15,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/rozkladowe-ciche-piekny-widok-bezposrednio-ID4ntkN
2,pełna własność,do zamieszkania,3/13,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-w-zielonej-okolicy-ID4nsVA
4,pełna własność,N/A,parter/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-wilanow-148-m2-ID4nt4S
2,N/A,do zamieszkania,9/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/bielany-2-pokoje-przy-metrze-do-wprowadzenia-ID4nsVX
3,pełna własność,do remontu,8/11,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwustronne-3-pok-na-mokotowie-51m2-ID4ntql
1,pełna własność,do wykończenia,1/6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mokotow-35-m-2-ul-konstruktorska-5a-ID4nbEA
1,pełna własność,do zamieszkania,7/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-w-centrum-warszawy-ID4ntkV
4,N/A,do zamieszkania,3/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-na-bielanach-ID4mUlo
4,pełna własność,do zamieszkania,3/4,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/specious-apartment-3-bedrooms-3m-high-ID4ntlx
2,pełna własność,do wykończenia,10/11,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-loggia-ID4mTFS
4,pełna własność,do zamieszkania,parter/3,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokoje-z-ogrodkiem-bemowo-obok-metra-ID4ntlw
2,pełna własność,do zamieszkania,N/A,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-dwupokojowe-z-ogrodkiem-do-wprowadzenia-ID4nm2K
2,pełna własność,N/A,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-wilanow-52-84-m2-ID4nt4W
3,N/A,N/A,8/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-62-m2-ID4nt50
2,N/A,N/A,parter/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-42-m2-ID4nt4Z
3,N/A,do remontu,9/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-4-pokoje-do-wlasnej-aranzacji-bardzo-widne-ID4nsX1
3,pełna własność,do zamieszkania,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kasprowicza-przy-metro-mlociny-prywatnie-ID4ntqr
2,pełna własność,do zamieszkania,3/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/do-sprzedania-mieszkanie-2-pokoje-52-6m-bielany-ID4n9pn
2,N/A,N/A,parter/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-48m2-ID4nt51
3,N/A,N/A,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-wlochy-40-m2-ID4nt53
1,pełna własność,do zamieszkania,N/A,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/21m-taras-30m-apartament-z-najemca-3-500zl-m-ce-ID4n291
3,N/A,do wykończenia,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/marysin-wawerski-3-pokoje-0-prowizji-0-pcc-ID4nsX2
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-ID4njkn
2,N/A,do wykończenia,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ursynow-2-pokoje-37-m2-bez-prowizji-kredyt-ID4nrHD
4,pełna własność,do zamieszkania,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-164m-mokotow-ursynow-fosa-ID4lnhp
1,N/A,do wykończenia,6/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-w-stanie-deweloperskim-z-garazem-ID4nsXs
3,pełna własność,do zamieszkania,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-65m2-przy-ul-berensona-ID4ntmu
4,pełna własność,do wykończenia,2/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/pasaz-abrahama-nowe-mieszkanie-m20-ID4kc1E
2,pełna własność,do zamieszkania,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-gorny-mokotow-2-pokojowe-mieszkanie-ID4mH5f
1,N/A,N/A,8/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/warszawa-bliska-wola-ogrodowa-kawalerka-27m2-lux-ID4nsXB
3,N/A,do zamieszkania,1/3,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kameralny-budynek-stan-deweloperski-ID4ntra
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,5/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/meander-5-metro-natolin-4-pokoje-inwestycyjne-ID4nfe5
4,pełna własność,do zamieszkania,7/7,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/penthouse-100m2-piekny-taras-60m2-ID4lRTG
3,pełna własność,do zamieszkania,8/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pok-przy-metrze-mlociny-lekka-sokratesa-ID4mtld
1,pełna własność,do zamieszkania,parter/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezsposrednio-kamienica-noakowskiego16-31m-prestiz-ID4mUlY
2,pełna własność,do remontu,1,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/warszawa-ochota-grojecka-42m2-pokoje-duzy-balkon-ID4nsXC
2,pełna własność,do zamieszkania,1/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ladne-mieszkanie-na-goclawiu-bezposrednio-ID4gYT1
3,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-przy-pl-bankowym-doskonale-na-inwest-ID4ntrH
2,pełna własność,do zamieszkania,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-rembertow-ul-paderewskiego-las-ID4nsXE
4,pełna własność,do zamieszkania,3/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-67-06m2-osiedle-zamkniete-cesja-ID4m4Gn
2,pełna własność,do zamieszkania,parter/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/urzadzone-2-pokoje-z-balkonem-w-super-lokalizacji-ID4n5Og
1,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4njkg
3,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-2-balkony-ID4dGFr
3,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-z-widna-kuchnia-na-goclawiu-ID4l34d
2,pełna własność,do zamieszkania,1/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/metro-9-min-2-pokoje-muranow-wysokie-cisza-ID4ntrJ
2,pełna własność,do wykończenia,parter/2,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-ogrodek-ID4kgvx
1,pełna własność,do wykończenia,2/2,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-praga-poludnie-goclaw-ID4nsXN
2,N/A,do wykończenia,parter/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-w-pieknej-kamienicy-przy-metrze-park-ID4ntrK
2,pełna własność,do zamieszkania,parter/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/stara-ochota-w-kamienicy-z-klimatem-55-mk2-2-pok-ID4mUmW
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,6/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-na-czumy-bemowo-ID4nsY3
4,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-2-ogrodki-ID4dGEX
4,pełna własność,do wykończenia,parter/2,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-96m2-ogrodek-bez-prowizji-ID4kgve
3,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4kgvn
5,N/A,do wykończenia,parter/1,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dom-w-cenie-mieszkania-wilanow-ursynow-13min-autem-ID4nsYa
2,pełna własność,do zamieszkania,parter/4,"balkon, ogródek",N/A,,,,,,https://www.otodom.pl/pl/oferta/zadbane-2-pokoje-z-ogrodkiem-praga-poludnie-ID4h6ef
3,N/A,N/A,4/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/moderna-powisle-ul-zajecza-1a-ID4mEIw
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,parter/9,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/zadbane-3-pokoje-z-klimatyzacja-na-mokotowie-ID4lFuA
4,pełna własność,do wykończenia,5/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-85m2-balkon-ID4e1VE
4,pełna własność,do zamieszkania,2/4,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-wilanowie-4-pokoje-92m-winda-garaz-ID4nbIF
2,pełna własność,do zamieszkania,3/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-loggia-do-zamieszkania-widok-na-skwer-ID4lwlE
5,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-80m2-2-balkony-ID4njjV
3,N/A,do remontu,3/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/wola-54m2-super-rozklad-3pok-loggia-10min-metro-ID4ntna
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,parter/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/idealne-3-pokojowe-metro-pl-wilsona-ID4nibs
6,pełna własność,do remontu,1/1,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/okazja-wlasny-dom-80m2-z-ogrodkiem-ursus-ID4llLd
3,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ochota-ID4nttb
2,spółdzielcze wł. prawo do lokalu,do zamieszkania,7/10,"balkon, ogródek",N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-38m-piekny-widok-cisza-ul-sienna-ID4nras
2,pełna własność,do zamieszkania,> 10/52,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zlota-44-79-m-studio-apartament-ID4lJ4M
2,pełna własność,do wykończenia,4/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-loggia-bez-prowizji-ID4ikIP
2,pełna własność,do zamieszkania,5/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/ciche-odswiezone-mieszkanie-przy-metrze-ID4mQ3d
2,pełna własność,N/A,1,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-od-wlasciciela-2-pok-bielany-niedal-ID4mTUZ
3,pełna własność,do zamieszkania,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-kabaty-ID4nkAr
3,pełna własność,do zamieszkania,4/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-3-pok-lazienki-metro-ID4nsql
3,pełna własność,do remontu,2/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-mokotow-3-rooms-mokotow-ID4lYIz
3,pełna własność,do wykończenia,parter/3,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkania-bezczynnszowe-z-duzymi-ogrodkami-ID4gPya
2,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-i-metro-i-widok-na-fort-i-bezposrednio-ID4nkfO
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,8/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-mieszkanie-przy-metrze-imielin-62-08-m2-ID4nqko
3,pełna własność,do wykończenia,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-balkon-ID4imnq
2,pełna własność,do zamieszkania,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bialoleka-krokwi-2-pokoje-44-m2-ID4ne68
3,pełna własność,N/A,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pok-rozkladowe-w-cichej-zielonej-czesci-bemowa-ID4nevY
3,pełna własność,do wykończenia,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-2-balkony-ID4nrJg
4,pełna własność,do zamieszkania,6/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-z-niepowtarzalnym-widokiem-zoliborz-ID4nizf
3,pełna własność,N/A,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-przy-centrum-praskim-koneser-2-balkony-ID4n5VG
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-78m2-balkon-bez-prowizji-ID4cmFZ
2,pełna własność,N/A,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mokotow-sluzewiec-piekne-mieszkanie-2pok-garaz-ID4mJT8
3,pełna własność,do zamieszkania,parter/4,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/eleganckie-mieszkanie-na-ursynowie-ID4nrt4
1,pełna własność,N/A,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/na-sprzedaz-i-bez-prowizji-studio-wykonczone-ID4npgn
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/willa-aero-kameralna-willa-miejska-przy-parku-ID4l1pH
4,N/A,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/deweloperskie-4-pok-berensona-0-pcc-0-prowizji-ID4nr9n
1,pełna własność,do zamieszkania,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-na-ochocie-wum-lotnisko-ID4nr7j
2,pełna własność,do wykończenia,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bez-prowizji-gotowe-apartament-52-m2-w-wa-wola-ID4njet
2,pełna własność,do wykończenia,7/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/ursus-2-pokoje-blisko-skm-ID4nqUT
5,pełna własność,do wykończenia,N/A,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowy-etap-w-sprzedazy-eko-park-wawer-iii-ID4eBFc
3,pełna własność,N/A,4/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/perfekcyjne-3-pokoje-na-zeraniu-z-komorka-w-cenie-ID4n465
4,pełna własność,do zamieszkania,8/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/wyremontowane-mieszkanie-w-dobrej-lokalizacji-ID4mEmt
2,pełna własność,N/A,3/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/perfekcyjne-dwa-pokoje-lazienki-krolewskie-ID4niRY
4,pełna własność,N/A,5/6,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/designerski-apartament-w-najwyzszym-standardzie-ID4mYP0
2,pełna własność,do zamieszkania,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wilanow-ul-zasciankowa-2-pok-51-m-ID4nnDe
3,N/A,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3pok-wilanow-dla-rodzin-super-cena-gotowe-na-3q23-ID4nqVn
4,pełna własność,do wykończenia,3/4,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowy-apartament-na-ursynowie-natolin-ID4nrJD
3,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sluzew-mieszkanie-3-pokojowe-z-garazem-ID4mZsc
3,pełna własność,do wykończenia,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3pok69m2balkondwustronnebez-prowizji-ID4mTi2
2,pełna własność,do zamieszkania,parter/1,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-z-ogrodkiem-ID4niN2
2,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-na-ursusie-ID4nqXY
2,pełna własność,do wykończenia,parter/3,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-31m2-ogrodek-bez-prowizji-ID4lXs6
1,pełna własność,do wykończenia,2/16,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-bez-prowizji-ID4i3vr
2,pełna własność,do zamieszkania,> 10/11,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowy-penthouse-z-tarasem-blisko-centrum-ID3Zr3u
2,pełna własność,do zamieszkania,parter/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/do-sprzedazy-atrakcyjne-2-pokojowe-mieszkanie-ID4mWXL
4,pełna własność,do wykończenia,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-94m2-loggia-bez-prowizji-ID4imlg
3,pełna własność,do zamieszkania,3/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/czerska-18-3-pokoje-garaz-komorka-ID4nqZY
2,pełna własność,do wykończenia,2/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-ID4imlJ
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/ul-falata-4-pokoje-na-sprzedaz-ID4ne0e
2,pełna własność,do zamieszkania,parter/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kameralne-mieszkanie-na-saskiej-kepie-ID4nhcE
1,pełna własność,do wykończenia,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4lXr6
2,pełna własność,do zamieszkania,8/9,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/duze-2-pokoje-mieszkanie-z-loggia-ID4mibp
2,pełna własność,do remontu,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-kamienicy-na-woli-ID4miLB
3,pełna własność,do wykończenia,parter/4,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-74m2-2-ogrodki-ID4jDG9
2,pełna własność,do wykończenia,4/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-loggia-bez-prowizji-ID4jwZK
2,pełna własność,do zamieszkania,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/targowek-mieszkaniowy-46m-bezposrednio-przy-metrze-ID4nqTY
2,pełna własność,do zamieszkania,3/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/apartament-kamienica-zielen-cisza-powisle-ID4nqTU
2,pełna własność,do wykończenia,2/11,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-53m2-balkon-bez-prowizji-ID4jB0B
2,pełna własność,do wykończenia,parter/8,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-55m2-ogrodek-bezposrednio-ID4jwYJ
3,pełna własność,do zamieszkania,parter/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwupak-kawalerek-inwestycja-muranow-karmelicka-ID4nqUa
3,pełna własność,do zamieszkania,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-w-dzielnicy-z-charakterem-ID4mGZp
3,pełna własność,do wykończenia,6/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-80m2-taras-bez-prowizji-ID4jwZp
2,pełna własność,do zamieszkania,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-woli-ID4n50F
3,N/A,do zamieszkania,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/stare-bielany-i-49m2-i-wysoki-standard-i-balkon-ID4mKUL
4,pełna własność,do zamieszkania,2/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/doskonale-polozony-apartament-przy-morskim-oku-ID4nbHX
3,pełna własność,do zamieszkania,2/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-przy-metrze-wawrzyszew-ID4nk0K
3,pełna własność,do wykończenia,2/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-ID4fEzX
4,pełna własność,do zamieszkania,5/13,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/czteropokojowe-mieszkanie-swiezo-po-remoncie-ID4niiA
3,pełna własność,do wykończenia,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4mASx
3,pełna własność,do wykończenia,parter/8,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-70m2-ogrodek-bez-prowizji-ID4jwYN
4,pełna własność,do wykończenia,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-loggia-bezposrednio-ID4mASz
1,pełna własność,do wykończenia,5/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4jwYd
2,pełna własność,do wykończenia,6/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4mAUl
3,pełna własność,do wykończenia,7/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4mAU8
4,pełna własność,do wykończenia,2/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-loggia-bez-prowizji-ID4mASW
4,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rodzinne-mieszkanie-gotowe-do-wprowadzenia-ID4nk2S
4,pełna własność,do wykończenia,6/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-76m2-loggia-ID4jwZ1
2,pełna własność,do wykończenia,parter/7,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-ogrodek-bez-prowizji-ID4mASs
3,pełna własność,do zamieszkania,6/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-widok-na-warszawe-ID4nlZi
1,pełna własność,do wykończenia,7/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-loggia-bezposrednio-ID4imn6
3,pełna własność,do remontu,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-antresola-blisko-metra-ID4nk1z
3,N/A,do remontu,4/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-chronionym-osiedlu-ID4n7oV
3,pełna własność,do wykończenia,7/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-52m2-balkon-bez-prowizji-ID4fEAX
2,pełna własność,do remontu,parter/2,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja2-pokoje-z-kuchnia-lub-3-z-aneksem-ogro-ID4nmwf
5,pełna własność,do wykończenia,7/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-112m2-balkon-bez-prowizji-ID4e1VI
4,pełna własność,do wykończenia,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4lXrz
4,pełna własność,do zamieszkania,3/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przestronny-i-jasny-apartament-w-sercu-powisla-ID4nlNq
