rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
2,pełna własność,do remontu,3/9,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-rezerwacja-ul-saska-38-5m2-plus-balkon-ID4ns9G
3,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-z-duzym-balkonem-ID4mRX4
4,N/A,N/A,> 10/22,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/penthouse-z-duzym-tarasem-i-widokiem-na-warszawe-ID4nsjH
4,pełna własność,do wykończenia,2/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-83m2-balkon-ID4e1WZ
3,pełna własność,do zamieszkania,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wilanow-3-pok-66-49-m-pietro-4-garaz-ID4ndmW
3,pełna własność,do zamieszkania,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-apartamentowiec-krolowej-marysienki-75m2-ID4n1Ky
2,N/A,do wykończenia,2/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-modlinska-201-m7-ID4hV3r
2,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyremontowane-2-pokojowe-mieszkanie-w-kamienicy-ID4ns8W
3,N/A,do zamieszkania,parter/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/piekne-3-pokoje-metro-cisza-bk-2-ID4ns8B
2,pełna własność,N/A,2/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwustronne-mieszkanie-klucze-na-juz-bez-pcc-ID4m0lx
3,pełna własność,do remontu,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/plac-inwalidow-ID4ns7S
