title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,link2,street,nbrhood,district,city,vvdship,timestamp
Mieszkanie - Warszawa Ochota,890000,49.93,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ochota-ID4nttb,3,pełna własność,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ochota-ID4nttb,ul. Władysława Korotyńskiego, Szczęśliwice, Ochota, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Mieszkanie na Wilanowie 4 pokoje 92m winda, garaż",1460000,92.0,https://www.otodom.pl/pl/oferta/mieszkanie-na-wilanowie-4-pokoje-92m-winda-garaz-ID4nbIF,4,pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkanie-na-wilanowie-4-pokoje-92m-winda-garaz-ID4nbIF,ul. Marconich, Wilanów Wysoki, Wilanów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Mieszkanie od właściciela, 2 pok., Bielany, niedal",639000,36.0,https://www.otodom.pl/pl/oferta/mieszkanie-od-wlasciciela-2-pok-bielany-niedal-ID4mTUZ,2,pełna własność,no data,balkon,no data,https://www.otodom.pl/pl/oferta/mieszkanie-od-wlasciciela-2-pok-bielany-niedal-ID4mTUZ,ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Moderna Powiśle / ul. Zajęcza 1A,2630000,66.8,https://www.otodom.pl/pl/oferta/moderna-powisle-ul-zajecza-1a-ID4mEIw,3,no data,no data,no data,no data,https://www.otodom.pl/pl/oferta/moderna-powisle-ul-zajecza-1a-ID4mEIw,ul. Zajęcza, Powiśle, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Dom w cenie mieszkania Wilanów/Ursynów 13min autem,859000,104.56,https://www.otodom.pl/pl/oferta/dom-w-cenie-mieszkania-wilanow-ursynow-13min-autem-ID4nsYa,5,no data,do wykończenia,"balkon, ogródek, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/dom-w-cenie-mieszkania-wilanow-ursynow-13min-autem-ID4nsYa,no info,Aleksandrów, Wawer, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
2-pokojowe mieszkanie 51m2 + loggia Bez Prowizji,997742,51.52,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-loggia-bez-prowizji-ID4ikIP,2,pełna własność,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-loggia-bez-prowizji-ID4ikIP,ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
4-pokojowe mieszkanie 96m2 + ogródek Bez Prowizji,1815723,96.07,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-96m2-ogrodek-bez-prowizji-ID4kgve,4,pełna własność,do wykończenia,"taras, ogródek",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-96m2-ogrodek-bez-prowizji-ID4kgve,ul. Figowa, Siekierki, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
5-pokojowe mieszkanie 80m2 + 2 balkony,Zapytaj o cenę,80.78,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-80m2-2-balkony-ID4njjV,5,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-80m2-2-balkony-ID4njjV,ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Zadbane 2 pokoje z ogródkiem, Praga Południe",630000,46.4,https://www.otodom.pl/pl/oferta/zadbane-2-pokoje-z-ogrodkiem-praga-poludnie-ID4h6ef,2,pełna własność,do zamieszkania,"balkon, ogródek",no data,https://www.otodom.pl/pl/oferta/zadbane-2-pokoje-z-ogrodkiem-praga-poludnie-ID4h6ef,ul. Komorska, Gocławek, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Zadbane 3 pokoje z klimatyzacją na Mokotowie.,960000,67.2,https://www.otodom.pl/pl/oferta/zadbane-3-pokoje-z-klimatyzacja-na-mokotowie-ID4lFuA,3,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/zadbane-3-pokoje-z-klimatyzacja-na-mokotowie-ID4lFuA,ul. Podbipięty, Służew, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
4-pokojowe mieszkanie 85m2 + balkon,1620984,85.45,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-85m2-balkon-ID4e1VE,4,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-85m2-balkon-ID4e1VE,ul. Sławińska, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
