title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,link2,street,nbrhood,district,city,vvdship,timestamp
3-pokojowe mieszkanie 70m2 + balkon,Zapytaj o cenę,70.15,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-70m2-balkon-ID4iirL,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-70m2-balkon-ID4iirL,Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
1-pokojowe mieszkanie 119m2 + taras Bezpośrednio,Zapytaj o cenę,119.76,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-119m2-taras-bezposrednio-ID4jrn4,1,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-119m2-taras-bezposrednio-ID4jrn4,Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3 pok. 2 balkony z DUŻĄ sypialnią,870000,60.0,https://www.otodom.pl/pl/oferta/3-pok-2-balkony-z-duza-sypialnia-ID4nqBb,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pok-2-balkony-z-duza-sypialnia-ID4nqBb,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Mieszkanie, 45,30 m², Warszawa",520000,45.3,https://www.otodom.pl/pl/oferta/mieszkanie-45-30-m-warszawa-ID4nqB1,2,pełna własność,no data,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkanie-45-30-m-warszawa-ID4nqB1,no info,Żerań, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nowa inwestycja - Jana Kazimierza - garaż,739000,39.0,https://www.otodom.pl/pl/oferta/nowa-inwestycja-jana-kazimierza-garaz-ID4n7mZ,2,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nowa-inwestycja-jana-kazimierza-garaz-ID4n7mZ,ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nowa inwestycja - Jana Kazimierza - garaż,1199000,68.5,https://www.otodom.pl/pl/oferta/nowa-inwestycja-jana-kazimierza-garaz-ID4ndld,3,pełna własność,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nowa-inwestycja-jana-kazimierza-garaz-ID4ndld,ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Klucze W Tym Roku - Nowa inwestycja - taras 45m2,2995000,117.0,https://www.otodom.pl/pl/oferta/klucze-w-tym-roku-nowa-inwestycja-taras-45m2-ID4n6jW,4,pełna własność,do wykończenia,"balkon, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/klucze-w-tym-roku-nowa-inwestycja-taras-45m2-ID4n6jW,ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nowoczesny - zrobiony pod klucz - Daszyńskiego,2995000,104.0,https://www.otodom.pl/pl/oferta/nowoczesny-zrobiony-pod-klucz-daszynskiego-ID4n7mX,4,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nowoczesny-zrobiony-pod-klucz-daszynskiego-ID4n7mX,ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nowa inwestycja - widok na zieleń - Daszyńskieg,2499000,105.0,https://www.otodom.pl/pl/oferta/nowa-inwestycja-widok-na-zielen-daszynskieg-ID4n6jZ,4,pełna własność,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nowa-inwestycja-widok-na-zielen-daszynskieg-ID4n6jZ,ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nowa inwestycja - Daszyńskiego - Klucze W Tym Roku,1599000,67.0,https://www.otodom.pl/pl/oferta/nowa-inwestycja-daszynskiego-klucze-w-tym-roku-ID4n5X3,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nowa-inwestycja-daszynskiego-klucze-w-tym-roku-ID4n5X3,ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nowa inwestycja - Daszyńskiego - Klucze W Tym Roku,1999000,90.0,https://www.otodom.pl/pl/oferta/nowa-inwestycja-daszynskiego-klucze-w-tym-roku-ID4n6jV,4,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nowa-inwestycja-daszynskiego-klucze-w-tym-roku-ID4n6jV,ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ostatnie piętro z prywatnym tarasem 60m2 na dachu,2995000,100.0,https://www.otodom.pl/pl/oferta/ostatnie-pietro-z-prywatnym-tarasem-60m2-na-dachu-ID4luuk,3,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/ostatnie-pietro-z-prywatnym-tarasem-60m2-na-dachu-ID4luuk,ul. Bonifraterska, Nowe Miasto, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Nu! - Kolejowa - odbiór październik 2023,1129000,67.0,https://www.otodom.pl/pl/oferta/nu-kolejowa-odbior-pazdziernik-2023-ID4lK4Q,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/nu-kolejowa-odbior-pazdziernik-2023-ID4lK4Q,ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
4-pokojowe mieszkanie 69m2 + balkon Bez Prowizji,831440,4.0,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-69m2-balkon-bez-prowizji-ID4fEAx,4,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-69m2-balkon-bez-prowizji-ID4fEAx,ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3-pokojowe mieszkanie 55m2 + balkon Bez Prowizji,660186,55.71,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bez-prowizji-ID4fEzb,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bez-prowizji-ID4fEzb,ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Komfortowe, pięknie zaprojektowane-Gorąco polecam!",710000,50.0,https://www.otodom.pl/pl/oferta/komfortowe-pieknie-zaprojektowane-goraco-polecam-ID4nqE6,2,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/komfortowe-pieknie-zaprojektowane-goraco-polecam-ID4nqE6,ul. Klasyków 30B, Henryków, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Narożne - Metro Art 2 - garaż - 2 balkony,1199000,87.0,https://www.otodom.pl/pl/oferta/narozne-metro-art-2-garaz-2-balkony-ID4lMxI,4,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/narozne-metro-art-2-garaz-2-balkony-ID4lMxI,ul. Żupnicza, Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ustawne mieszkanie - Metro Zachód,825000,59.0,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-metro-zachod-ID4lMxJ,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-metro-zachod-ID4lMxJ,ul. Żupnicza, Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Wykończone pod klucz - pozytywny Mokotów,2599000,104.5,https://www.otodom.pl/pl/oferta/wykonczone-pod-klucz-pozytywny-mokotow-ID4mM5h,4,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/wykonczone-pod-klucz-pozytywny-mokotow-ID4mM5h,ul. Konstruktorska, Służewiec, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"2 pokoje z tarasem, garaż Wilanów ul. Bruzdowa",676000,36.55,https://www.otodom.pl/pl/oferta/2-pokoje-z-tarasem-garaz-wilanow-ul-bruzdowa-ID4nqEk,2,pełna własność,do zamieszkania,"balkon, ogródek, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokoje-z-tarasem-garaz-wilanow-ul-bruzdowa-ID4nqEk,ul. Bruzdowa, Zawady, Wilanów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Butikowy Projekt- Mokotów Obok Królikarni,4496000,157.24,https://www.otodom.pl/pl/oferta/butikowy-projekt-mokotow-obok-krolikarni-ID4nkcY,4,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/butikowy-projekt-mokotow-obok-krolikarni-ID4nkcY,no info,Ksawerów, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Okazja - odebrane mieszkanie - 6 piętro,699000,64.0,https://www.otodom.pl/pl/oferta/okazja-odebrane-mieszkanie-6-pietro-ID4luuf,3,pełna własność,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/okazja-odebrane-mieszkanie-6-pietro-ID4luuf,ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Mieszkanie Inwestycyjne na 10 kawalerek,1650000,240.0,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-na-10-kawalerek-ID4nqAR,10,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-na-10-kawalerek-ID4nqAR,ul. Krośniewicka, Zacisze, Targówek, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Sprzedam BEZPOŚREDNIO kawalerkę Śródmieście,685000,26.0,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-kawalerke-srodmiescie-ID4mR5A,1,pełna własność,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-kawalerke-srodmiescie-ID4mR5A,ul. Pawia 51, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Bez prowizji. Dwupokojowe mieszkanie na Kabatach,935553,45.15,https://www.otodom.pl/pl/oferta/bez-prowizji-dwupokojowe-mieszkanie-na-kabatach-ID4kZdE,2,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/bez-prowizji-dwupokojowe-mieszkanie-na-kabatach-ID4kZdE,al. Aleja Komisji Edukacji Narodowej, Kabaty, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Apartament pod INWESTYCJĘ,876000,31.0,https://www.otodom.pl/pl/oferta/apartament-pod-inwestycje-ID4n0d7,1,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/apartament-pod-inwestycje-ID4n0d7,no info,Śródmieście Północne, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3 pok. 2 balkony z DUŻY pok. dzienny,844000,60.5,https://www.otodom.pl/pl/oferta/3-pok-2-balkony-z-duzy-pok-dzienny-ID4nqDh,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pok-2-balkony-z-duzy-pok-dzienny-ID4nqDh,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3-pokojowe mieszkanie na Bliskiej Woli z loggią,1922000,62.0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-bliskiej-woli-z-loggia-ID4nhHc,3,no data,no data,"balkon, taras",no data,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-bliskiej-woli-z-loggia-ID4nhHc,ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
2 pokoje - taras 11 m2 - gotowe do zamieszkania,549000,40.12,https://www.otodom.pl/pl/oferta/2-pokoje-taras-11-m2-gotowe-do-zamieszkania-ID4nqzO,2,pełna własność,do zamieszkania,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokoje-taras-11-m2-gotowe-do-zamieszkania-ID4nqzO,ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Penthouse z tarasem i pięknym widokiem, Wola",5833000,148.81,https://www.otodom.pl/pl/oferta/penthouse-z-tarasem-i-pieknym-widokiem-wola-ID4l3qr,5,no data,no data,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/penthouse-z-tarasem-i-pieknym-widokiem-wola-ID4l3qr,ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Warszawa Wola ul.Okopowa 4 pok 73 m2 BEZPOŚREDNIO,999000,4.0,https://www.otodom.pl/pl/oferta/warszawa-wola-ul-okopowa-4-pok-73-m2-bezposrednio-ID4mLBJ,4,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/warszawa-wola-ul-okopowa-4-pok-73-m2-bezposrednio-ID4mLBJ,ul. Okopowa 47, Młynów, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
rewelacyjne 3 pokoje z aneksem/metro Imielin,745000,50.0,https://www.otodom.pl/pl/oferta/rewelacyjne-3-pokoje-z-aneksem-metro-imielin-ID4mXmp,3,no data,no data,balkon,no data,https://www.otodom.pl/pl/oferta/rewelacyjne-3-pokoje-z-aneksem-metro-imielin-ID4mXmp,M.Grzegorzewskiej, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
*2/3 Pokoje*Ciche*Zielono*Balkon*,790000,51.0,https://www.otodom.pl/pl/oferta/2-3-pokojecichezielonobalkon-ID4nqDf,2,pełna własność,no data,balkon,no data,https://www.otodom.pl/pl/oferta/2-3-pokojecichezielonobalkon-ID4nqDf,no info,Wrzeciono, Bielany, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"2 pok. 47,8m2, Mokotów, Bartycka, bezpośrednio",748000,47.82,https://www.otodom.pl/pl/oferta/2-pok-47-8m2-mokotow-bartycka-bezposrednio-ID4irjZ,2,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/2-pok-47-8m2-mokotow-bartycka-bezposrednio-ID4irjZ,ul. Bartycka, Siekierki, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Apartament z ogrodem przy Łazienkach Królewskich,4150000,115.96,https://www.otodom.pl/pl/oferta/apartament-z-ogrodem-przy-lazienkach-krolewskich-ID4l6yK,4,no data,no data,ogródek,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/apartament-z-ogrodem-przy-lazienkach-krolewskich-ID4l6yK,no info,Ujazdów, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
4 pokojowe mieszkanie w kamienicy,2690000,120.0,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-w-kamienicy-ID4nij4,5,no data,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-w-kamienicy-ID4nij4,ul. Filtrowa, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"3 Pokoje, Loggia, Piwnica, Tuż Teatr Rampa, Metro",595000,59.6,https://www.otodom.pl/pl/oferta/3-pokoje-loggia-piwnica-tuz-teatr-rampa-metro-ID4nl9E,3,no data,do remontu,balkon,no data,https://www.otodom.pl/pl/oferta/3-pokoje-loggia-piwnica-tuz-teatr-rampa-metro-ID4nl9E,ul. Kołowa, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
mieszkanie w kamienicy Praga- Północ,1496000,88.0,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-praga-polnoc-ID4m5uK,3,pełna własność,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-praga-polnoc-ID4m5uK,ul. Ząbkowska, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Kameralny, Apartament,4pok.79,30m2,Komórka,Garaż",1347777,79.3,https://www.otodom.pl/pl/oferta/kameralny-apartament-4pok-79-30m2-komorka-garaz-ID4nqJH,4,pełna własność,no data,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/kameralny-apartament-4pok-79-30m2-komorka-garaz-ID4nqJH,al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Kameralny, Apartament,4pok.79,30m2,Komórka,Garaż",1347777,79.3,https://www.otodom.pl/pl/oferta/kameralny-apartament-4pok-79-30m2-komorka-garaz-ID4nqJF,4,pełna własność,no data,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/kameralny-apartament-4pok-79-30m2-komorka-garaz-ID4nqJF,al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Stare Miasto super standard,870000,30.0,https://www.otodom.pl/pl/oferta/stare-miasto-super-standard-ID4n8ar,1,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/stare-miasto-super-standard-ID4n8ar,ul. Krzywe Koło, Stare Miasto, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Duży Balkon~Do Zamieszkania~Garaż~Komunikacja~Kw,785000,43.17,https://www.otodom.pl/pl/oferta/duzy-balkondo-zamieszkaniagarazkomunikacjakw-ID4nqCZ,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/duzy-balkondo-zamieszkaniagarazkomunikacjakw-ID4nqCZ,no info,Służewiec, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Blisko Park~Od Zaraz~Ogródek~Stary Mokotów~Komórka,3319000,126.0,https://www.otodom.pl/pl/oferta/blisko-parkod-zarazogrodekstary-mokotowkomorka-ID4nqCY,4,pełna własność,do zamieszkania,"balkon, ogródek, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/blisko-parkod-zarazogrodekstary-mokotowkomorka-ID4nqCY,no info,Wyględów, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Syndyk sprzeda udział w nieruchomości,604000,140.57,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-udzial-w-nieruchomosci-ID4ndlp,5,no data,no data,no data,no data,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-udzial-w-nieruchomosci-ID4ndlp,no info,Śródmieście Północne, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ciche mieszkanie w centrum,889000,60.1,https://www.otodom.pl/pl/oferta/ciche-mieszkanie-w-centrum-ID4mQap,3,no data,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/ciche-mieszkanie-w-centrum-ID4mQap,ul. Emila Zegadłowicza, Czyste, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Trzy pokoje, Saska Kępa, ul. Międzynarodowa.",599000,44.25,https://www.otodom.pl/pl/oferta/trzy-pokoje-saska-kepa-ul-miedzynarodowa-ID4nq8j,3,pełna własność,do remontu,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/trzy-pokoje-saska-kepa-ul-miedzynarodowa-ID4nq8j,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Salon 30m2 - 15 min do METRA- duży balkon,1160000,90.0,https://www.otodom.pl/pl/oferta/salon-30m2-15-min-do-metra-duzy-balkon-ID4nqJA,4,pełna własność,no data,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/salon-30m2-15-min-do-metra-duzy-balkon-ID4nqJA,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
BEZPOŚREDNIO -Atrakcyjne 4 pokoje - 152m +2 garaże,1830000,143.2,https://www.otodom.pl/pl/oferta/bezposrednio-atrakcyjne-4-pokoje-152m-2-garaze-ID4ni08,4,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/bezposrednio-atrakcyjne-4-pokoje-152m-2-garaze-ID4ni08,ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3 pokoje Łokuciewskiego 61m2 Bemowo,850000,61.0,https://www.otodom.pl/pl/oferta/3-pokoje-lokuciewskiego-61m2-bemowo-ID4npQF,3,no data,no data,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokoje-lokuciewskiego-61m2-bemowo-ID4npQF,no info,Górce, Bemowo, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Bezpośrednio, 3 pokoje po remoncie, metro Bemowo",939000,57.2,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-po-remoncie-metro-bemowo-ID4mXGz,3,pełna własność,do zamieszkania,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-po-remoncie-metro-bemowo-ID4mXGz,ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Warszawa - Kabaty stan deweloperski 117,26m2",2234000,117.26,https://www.otodom.pl/pl/oferta/warszawa-kabaty-stan-deweloperski-117-26m2-ID4h13L,4,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/warszawa-kabaty-stan-deweloperski-117-26m2-ID4h13L,Kabaty, Natolin, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Podwyższony standard, 3 m. wysokości. Lake Park",1045000,3.0,https://www.otodom.pl/pl/oferta/podwyzszony-standard-3-m-wysokosci-lake-park-ID4n3OK,3,pełna własność,do zamieszkania,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/podwyzszony-standard-3-m-wysokosci-lake-park-ID4n3OK,ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Apartament 156m2 Mokotów, stan deweloperski",3500000,156.0,https://www.otodom.pl/pl/oferta/apartament-156m2-mokotow-stan-deweloperski-ID4nccw,4,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/apartament-156m2-mokotow-stan-deweloperski-ID4nccw,no info,Stegny, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3 pokoje na Nowolipkach do wprowadzenia,964000,60.35,https://www.otodom.pl/pl/oferta/3-pokoje-na-nowolipkach-do-wprowadzenia-ID4nfRP,3,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/3-pokoje-na-nowolipkach-do-wprowadzenia-ID4nfRP,ul. Mordechaja Anielewicza, Nowolipki, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Metro ""Plac Tysiąclecia"" | Skm | Zielona okolica",659000,50.8,https://www.otodom.pl/pl/oferta/metro-plac-tysiaclecia-skm-zielona-okolica-ID4nqzf,2,pełna własność,no data,no data,no data,https://www.otodom.pl/pl/oferta/metro-plac-tysiaclecia-skm-zielona-okolica-ID4nqzf,ul. 1 Maja, Skorosze, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Mieszkanie narożne, duże okna, oddzielna kuchnia",840000,67.0,https://www.otodom.pl/pl/oferta/mieszkanie-narozne-duze-okna-oddzielna-kuchnia-ID4nqJm,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkanie-narozne-duze-okna-oddzielna-kuchnia-ID4nqJm,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Salon 30m2 - 15 min do METRA- Wysokie piętro,1195000,90.0,https://www.otodom.pl/pl/oferta/salon-30m2-15-min-do-metra-wysokie-pietro-ID4nqJd,4,no data,no data,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/salon-30m2-15-min-do-metra-wysokie-pietro-ID4nqJd,no info,Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
sprzedam bezpośrednio Nowe Wykończone 2pok miesz.,690000,47.0,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-nowe-wykonczone-2pok-miesz-ID4n8a3,2,no data,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-nowe-wykonczone-2pok-miesz-ID4n8a3,no info,Czechowice, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Gotowe mieszkanie,2p, widok, komunikacja, Praga pd",547000,36.5,https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-2p-widok-komunikacja-praga-pd-ID4nqCt,2,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-2p-widok-komunikacja-praga-pd-ID4nqCt,al. Aleja Stanów Zjednoczonych, Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Sprzedam bezpośrednio 2 pokojowe mieszkanie,489000,36.5,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-2-pokojowe-mieszkanie-ID4nduD,2,spółdzielcze wł. prawo do lokalu,do remontu,balkon,no data,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-2-pokojowe-mieszkanie-ID4nduD,ul. Kazimierza Wyki, Jelonki Północne, Bemowo, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ciche odświeżone mieszkanie przy metrze,679000,44.23,https://www.otodom.pl/pl/oferta/ciche-odswiezone-mieszkanie-przy-metrze-ID4mQ3d,2,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/ciche-odswiezone-mieszkanie-przy-metrze-ID4mQ3d,ul. Stalowa, Nowa Praga, Praga-Północ, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ursus Classic | mieszkanie 3-pok. |C1_107,Zapytaj o cenę,66.08,https://www.otodom.pl/pl/oferta/ursus-classic-mieszkanie-3-pok-c1-107-ID4ltvg,3,pełna własność,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/ursus-classic-mieszkanie-3-pok-c1-107-ID4ltvg,Dyrekcyjna, Szamoty, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Unikatowe 2 pokojowe gotowe do odbioru,530000,47.32,https://www.otodom.pl/pl/oferta/unikatowe-2-pokojowe-gotowe-do-odbioru-ID4nqzd,2,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/unikatowe-2-pokojowe-gotowe-do-odbioru-ID4nqzd,ul. Górna Droga, Czechowice, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
